Symbol,Close Sentence,Distance
컴퓨터실,전자피아노,0.2669107298780944
컴퓨터실,305호실입니다,0.30612609605205177
컴퓨터실,치실입니다,0.3061786349523531
컴퓨터실,일반실입니다,0.3078585812185315
컴퓨터실,일반실입니다,0.30785871635314876
손수건,반코트요,0.2495460497368005
손수건,모직바지예,0.2692514121469498
손수건,영수증?,0.274474889588726
손수건,셔츠요,0.2770937291334259
손수건,종이가방 드릴게요,0.28509968781126227
어지러워요,계속 토하고 어지러워요,0.173948653599299
어지러워요,어지러우세요?,0.21924260442433674
어지러워요,구층이에요,0.25380213032327403
어지러워요,계단식이에요,0.2608008319032489
어지러워요,매워요,0.27049622497415615
편지읽기,전자피아노,0.2921115421404774
편지읽기,사월말,0.33218457258311873
편지읽기,분청,0.34392964340854326
편지읽기,제비추리요,0.3440326077422865
편지읽기,스케치북은?,0.35203432658193456
스웨터,모직바지예,0.22534966451390104
스웨터,셔츠요,0.2528035096413981
스웨터,기본 재킷이요,0.28308727887367535
스웨터,반팔 티셔츠요,0.29848324386076086
스웨터,구스다운이요,0.30035488797034327
밖으로대피하다,밖에 있습니다,0.35017605096186155
밖으로대피하다,혼자왔는데요,0.3711141462445763
밖으로대피하다,밖에 있어요,0.3788218720315709
밖으로대피하다,밖에 있어요,0.3788218979996555
밖으로대피하다,밖에 있어요,0.3788218979996555
짐올려주세요,빨리주세요,0.1551108953089615
짐올려주세요,결재해주세요,0.16954635404826712
짐올려주세요,체크인해주세요,0.16979781786857406
짐올려주세요,커트해주세요,0.18131186504122876
짐올려주세요,포장해주세요,0.18824519124478356
멜론,화원,0.23100496567172835
멜론,초등학생,0.2706702155437992
멜론,사월말,0.2718470294166564
멜론,남자,0.27649255902931746
멜론,남자,0.2764925684214057
선착장,상원,0.16558306840155868
선착장,경운,0.18740529652612326
선착장,경운,0.18740532589066006
선착장,여깄습니다,0.20688402824223995
선착장,여깄습니다,0.20688402824223995
피아노,전자피아노,0.2163338837897446
피아노,초등학생,0.25034732298825746
피아노,남자,0.25519033397738045
피아노,남자,0.25519039832840473
피아노,남자,0.25519044932863655
온라인,경운,0.3370824615676844
온라인,경운,0.33708246751107995
온라인,내외점요 ,0.34681185746190624
