Symbol
73
실수
따끔거려요
교통사고가-났어요
정리해주세요
쉬고싶어요
핸드컨트롤러
날개
지켜요
디스크정리
장수풍뎅이
이직
생수
접수는어떻게하나요
최고에요
수입
필요없어요
조이스틱
단추를-끼워요
찬양
여우
슬프다
교수님언제찾아뵐까요
복학생
아르바이트
게시판
저녁-같이-드실래요
마취해요
컴퓨터실
손수건
어지러워요
편지읽기
스웨터
밖으로대피하다
짐올려주세요
멜론
선착장
피아노
온라인
일반고속
포장해요
남자수영복
일하러가요
부채
리바운드(농구)
감기약
실장
주차장
아침조회
너무느려요
카드충전소
딸기
여기-그릇-치워주세요
고등어
섞어요
이룸센터
씹어요
높은
해킹
홍콩HKD
음표
시댁
복합기
위암
정리할래요
15분전에
치로와친구들
간장에찍어요
가드(농구)
모과나무
이겼어요
점심-같이-드실래요
눈
공놀이
여기반찬더주세요
변비
의자왕
서점
유튜버
에스프레소
문어
46
계산대
낙산공원
타블렛pc
중립
급식판
놓아주세요
남청색
페이스북
쫒아오다
경찰서에신고해주세요
졸업증명서발급해주세요
피검사
대머리
휴식장소
스쿨존(어린이보호구역)
사고
온돌
분수
추리물
애견까페
같다
강풍주의보
산림촌
변호사
사장님
반팔
돋보기
파티용모자
등대
3분의2
성장해요
activity
콩나물무침
부딪혀
벼룩
학예회
짐내려주세요
적황색
정육면체
출력할래요
청원경찰
받아요
_코너의-위치가어디예요
피클
떡볶이
음악실
체스
점심식사
메신저
담당자가누구입니까
잘자요
감사합니다
배터리가방전됐어요
과학자
다장조
오각형
백미러조정해주세요
흰색
환타
열등감
머리하고싶어요
어떤분야에서일하고싶습니까
올라가요
알
10
늑대
기름기가너무많아요
사인어디에해요
우리
간지럽다
여의도성모병원
사육사
주유소
입원치료
취미는뭐예요
96
밀가루
빠른우편
들여다봐요
북쪽의
깜깜해요
우산-좀-빌려-주세요
나는_프로그램을좋아해요
보호
식혜
컵쌓기놀이
고소해요
성인용 기저귀
369게임
살인
보리차
제한속도(구간)
임신
농장
하지마세요
필터
추어탕
민요
강
기린
돌봐요
골키퍼(축구)
한글날
가슴아프다
입모양아
여권
인디고블루
지워주세요
돌하루방
다른-걸로-갈아타야-하나요
집사님
기숙사
그만둬요
장애인급여계좌신청을하고싶습니다
동물원에갈래요
오이소박이
동사
예약시간보다-늦었어요
보건실
넘어졌어요
도마뱀
문구
정리해요
교실
치과의사
만져요
몰라요
범죄피해자지원센터에연락해주세요
무섭다
삼태기
학교(유치원)
지휘자
짝이안맞아요
펠리컨
미역
시험공부해야되요
4대보험
꽃병에-꽂아요
소독방역
이번-주말에는
졌어요
빠른쾌유를-바랍니다
내친구들
경로
온라인결제
시장
국내소설
황정음
녹차(차)
저녁
장애학생지원센터는어디에있나요
잠가주세요
오바마
미래
탑승구
출발해요
잠옷
올해
제가하는말을이해못하셨다면말씀해주세요
세워주세요
질문있어요
베끼다
면허취득실시교육
와셔액이충분한가요
5분뒤에다시와주세요
조
그대로주세요
범죄피해자지원센터
마스크내리다
프라그(치석)
제-세례명은-000이예요
떠나다
책장
왼쪽으로가주세요
필요해요
기독교
여행-계획세웠어요
교복
십원
어떤영화좋아해요
화장품
구급차보내주세요
자동차정비원
금주
육개장
트라이앵글을쳐요
영수증주세요
케첩
폐강
속도위반
창덕궁
쓰레기담당
해동해요
장애인등록증여기있어요
의자위치조절해주세요
저는_를싫어해요
길을-잃었어요
독일
몇층이에요
낯뜨겁다
이사람이저에게욕했어요
평일_영문
육아휴직신청하고싶어요
잠시-쉬어도-될까요
기내식
저는그렇게할수없어요
신데렐라
청소구역
어부
발표해요
숨막히다
플러그를꽂아요
사장
샤프
노태우
56
경찰차
언어치료사
호두색
이주일에 한번
태우다
옷다시입혀주세요
갈등
제티
연예인
숨쉬기힘들어요
교과서
장녀
이거할게요
장화
도서검색대
만지지않아요
상
두통있어요
호주AUD
헬멧
경적기
수화통역사
마카롱
앉다
재학증명서
초록불이켜졌어요
뇌수막염
2AM
주소
소리가너무커요
지쳤어요
폐
계이름
껴요
약하게
한글
웹페이지
숭례문
만화가
휴지통
화상을입히다
그저그래요
기름져요
상담하다
특별활동
이해했어요
느끼해요
왕복으로-몇시간-걸리나요
가방이안나와요
나이테
폭염주의보
츄러스
트라이앵글
유지해요
내거에요
한정식집
카운터
고해성사
도둑
당황했어요
빠른-쾌유를-바랍니다
자동차정기점검하러왔어요
오늘-며칠인가요
레몬
허브
대하
휠체어장애인의차량탑승이가능한가요
목
달팽이
다른색으로보여주세요
따뜻한거주세요
여름성경학교신청하고싶어요
나타나요
들어올리다3
책값얼마예요
엘리베이터있어요
비워요
지퍼를-올려요
와셔액
뚜껑
스펀지
벌레물렸어요
나3
잡탕밥
2NE1
교환해주세요
된장찌개
부분집합
손잡이가떨어졌어요
포털사이트
슬기로운생활
학점
탑
무례하다
함은정
꽂아요
별
휠체어브레이크잠궈주세요
거위
뭐했어요
소지섭
메리크리스마스
퍼즐
설렁탕
실런트(홈메우기)
불경
홈페이지
장독대
예쁘게잘라주세요
열대어
언제까지제출해야하나요
손세정제
큰아빠
놓다
근육
붕대
컨트롤키
저상버스
팽이
컵
글씨가잘안보여요
포스터
빌려줄래
후고구려
채우다
퇴근하다
오므라이스
유료
역도
어떤-TV-프로를-보시나요
인식개선강사
26
문근영
손톱깎이
날짜
2호선
레슬링
계기판
이달의베스트셀러는뭐예요
복싱
계약직입니까
천원
즐거운생활
새우
체육복으로 갈아입어주세요
36
경련 쥐가 나다
47
무게
뺄래요
약속있어요
화상채팅
등심(돼지)
기니피그
어디서기다려요
지퍼를채워요
밀크쉐이크
유세윤
때리다
공구관리는누가합니까
인터넷접속
제자리
태워요
무엇
등받이가불편해요
창문열다
신문
스포츠카
십일조
할미꽃
부드럽다
8월
인턴
잡지
45
방학에뭐해
장애인이라고조롱하듯말했어요
샌드위치
초코맛
(나무로)-만들어요
종강예배
진주색
바닐라
컴퓨터용-펜
튀겨주세요
형광펜
창가에앉고싶어요
14
온탕
스무고개
누나2
엄마전화번호는_에요
감나무
단추를끼워요
빨리가져다주세요
제빵사
쫄깃해요
씌우다
먹기-싫어요
몸이아파요
치실
구워요
촬영
소리가안들려요
비수기
전단지보여주세요
기상청_영문
표범
틀림없어요
도어락비밀번호
영화표(티켓)
사진
냄비
나갈래요
누구와-함께-가요
고무장갑
맡겨요
1차방정식
부었어요
황사
장애인등록증기재사항변경신청하고싶습니다
육아휴직
전화로확인이가능한가요
외환은행
죄송합니다
뺑뺑이돌려주세요(타요)
전화번호가뭐예요
고추장
네말이맞아
끓여주세요
아주머니
요거트
체중계
갈비탕
물음
스포츠머리해주세요
삼진(야구)
